fingerprint_type,fingerprint_value,associated_tag,bayse_investigator_link
structural_id,ce34d763d818963bbddedfb4293f3753fd14a99b,attack_type.c2,https://bayse.io/site_fingerprint/structural_id/ce34d763d818963bbddedfb4293f3753fd14a99b
structural_id,b8f3309ef3af3c9a9ec52d8a6bf9769932965f8a,attack_type.c2,https://bayse.io/site_fingerprint/structural_id/b8f3309ef3af3c9a9ec52d8a6bf9769932965f8a
structural_id,99e98d176bbc01a865e7cd1a56d21049c1410963,attack_type.c2,https://bayse.io/site_fingerprint/structural_id/99e98d176bbc01a865e7cd1a56d21049c1410963
