fingerprint_type,fingerprint_value,associated_tag,bayse_ui_link
structural_id,16eed97d697ae63268f5755cc3e3ba1b04718003,cgi_bin,https://bayse.io/observable/structural_id/16eed97d697ae63268f5755cc3e3ba1b04718003
structural_id,858519e2fab4146990dddb36b5d4b7b9c34dc434,content_available1,https://bayse.io/observable/structural_id/858519e2fab4146990dddb36b5d4b7b9c34dc434
structural_id,858519e2fab4146990dddb36b5d4b7b9c34dc434,content_available2,https://bayse.io/observable/structural_id/3f6bf1dc360272ffc1b93d71626741c93ed2f1ab
structural_id,6f80a81040d50e3926cebef44d514a9148d20921,empty,https://bayse.io/observable/structural_id/6f80a81040d50e3926cebef44d514a9148d20921
